,CA,TX,MT,OH,KS
2017-06-26,2706.0,691.0,384.0,438.0,958.0
2017-06-24,2951.0,883.0,371.0,509.0,1039.0
2017-06-25,3351.0,802.0,466.0,432.0,1146.0
2017-06-23,3244.0,771.0,383.0,471.0,1066.0
2017-06-21,2146.0,730.0,369.0,495.0,850.0
2017-06-22,2482.0,840.0,360.0,505.0,977.0
2017-06-20,2054.0,678.0,377.0,489.0,785.0
2017-06-18,3362.0,756.0,400.0,416.0,1042.0
2017-06-19,3008.0,733.0,386.0,510.0,957.0
2017-06-16,3725.0,903.0,390.0,571.0,979.0
2017-06-17,3170.0,710.0,351.0,565.0,1088.0
2017-06-30,3689.0,1014.0,472.0,548.0,1402.0
2017-07-03,2687.0,697.0,371.0,435.0,1016.0
2017-07-01,5245.0,1219.0,519.0,522.0,1686.0
2017-07-02,3298.0,822.0,381.0,430.0,1261.0
2017-07-07,2944.0,856.0,406.0,577.0,1265.0
2017-07-08,2957.0,795.0,389.0,538.0,1351.0
2017-07-06,2523.0,731.0,393.0,487.0,1153.0
2017-07-04,3041.0,,316.0,407.0,946.0
2017-07-05,2966.0,,427.0,457.0,1173.0
2017-07-09,3253.0,883.0,433.0,418.0,1316.0
2017-07-10,2677.0,699.0,419.0,498.0,1005.0
2017-07-11,2034.0,653.0,375.0,491.0,864.0
2017-07-13,2572.0,740.0,391.0,440.0,1086.0
2017-07-12,2111.0,702.0,352.0,488.0,859.0
2017-07-14,3252.0,892.0,428.0,473.0,1153.0
2017-07-16,3465.0,,407.0,419.0,1279.0
2017-07-15,3492.0,831.0,361.0,533.0,1347.0
2017-07-20,2622.0,,392.0,534.0,1049.0
2017-07-19,2350.0,,362.0,485.0,854.0
2017-07-18,2175.0,,327.0,487.0,782.0
2017-07-17,2928.0,,382.0,495.0,938.0
2017-07-21,3590.0,,392.0,515.0,1224.0
2017-07-22,3325.0,,374.0,492.0,1455.0
2017-07-23,3507.0,,415.0,425.0,1344.0
2017-07-25,2323.0,613.0,360.0,478.0,846.0
2017-07-24,2953.0,,376.0,467.0,1119.0
